Hedged,Unhedged
4886.831276,9513.168723999997
4886.831276,2570.3115809999995
4886.831276,9627.454438999997
4886.831276,7341.740152999999
4886.831276,2770.311582125873
4886.831276,7113.168725202343
2767.361111,8946.924598540834
2767.361111,6575.496032154927
2767.361111,6318.353174604271
2767.361111,6261.21031888779
2767.361111,4918.35317438547
2767.361111,4804.067459995897
4886.831276,7770.311583981053
4886.831276,7113.1687246837155
2767.361111,7232.638888346454
2767.361111,7232.63888921629
2767.361111,7232.6388885349825
2767.361111,7232.638889746359
2767.361111,7232.638888399204
2767.361111,7232.638889160737
4886.831276,5113.168723879658
4886.831276,5113.16872414475
4886.831276,5113.168724076485
4886.831276,5113.168723924067
